Series_reference,Period,Data_value,STATUS,UNITS,Subject,Group,Series_title_1
CPIQ.SE901,1943.06,21.429016,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1943.09,21.871843,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1943.12,22.487951,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1944.03,21.891097,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1944.06,21.85259,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1944.09,22.083631,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1944.12,22.699739,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1945.03,21.814084,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1945.06,21.987364,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1945.09,22.141391,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1945.12,22.661232,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1946.03,21.891097,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1946.06,21.987364,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1946.09,22.237658,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1946.12,22.507205,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1947.03,22.179897,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1947.06,22.295418,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1947.09,22.718992,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1947.12,27.128017,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1948.03,26.069081,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1948.06,26.550416,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1948.09,26.819963,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1948.12,26.762203,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1949.03,26.742949,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1949.06,26.93015,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1949.09,27.732438,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1949.12,27.999868,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1950.03,27.598723,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1950.06,29.337015,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1950.09,31.182279,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1950.12,32.064796,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1951.03,32.198511,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1951.06,33.803088,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1951.09,35.273951,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1951.12,36.958756,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1952.03,36.718069,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1952.06,37.787787,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1952.09,38.563333,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1952.12,39.098192,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1953.03,38.910992,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1953.06,39.633051,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1953.09,40.43534,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1953.12,42.387574,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1954.03,41.5318,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1954.06,42.735233,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1954.09,42.895691,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1954.12,42.601518,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1955.03,42.815462,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1955.06,43.804951,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1955.09,43.644493,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1955.12,43.457293,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1956.03,44.082008,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1956.06,45.298063,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1956.09,47.42616,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1956.12,46.818133,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1957.03,44.516314,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1957.06,45.906091,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1957.09,46.296966,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1957.12,46.427258,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1958.03,45.906091,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1958.06,46.427258,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1958.09,46.557549,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1958.12,47.122147,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1959.03,46.687841,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1959.06,46.470688,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1959.09,46.818133,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1959.12,47.165577,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1960.03,46.514119,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1960.06,46.383828,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1960.09,47.860466,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1960.12,48.98966,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1961.03,47.686744,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1961.06,46.991855,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1961.09,48.251341,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1961.12,48.555355,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1962.03,48.121049,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1962.06,47.730174,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1962.09,48.20791,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1962.12,48.555355,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1963.03,48.20791,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1963.06,48.511924,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1963.09,49.250243,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1963.12,50.292577,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1964.03,50.379438,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1964.06,51.030896,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1964.09,52.550965,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1964.12,53.549868,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1965.03,53.072132,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1965.06,52.724688,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1965.09,53.549868,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1965.12,54.071034,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1966.03,54.399369,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1966.06,54.346036,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1966.09,54.292704,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1966.12,54.132706,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1967.03,57.119338,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1967.06,58.559321,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1967.09,58.93265,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1967.12,58.292657,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1968.03,58.825985,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1968.06,59.785973,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
